Just Enough Items (JEI),379.6M,"Oct 26, 2024","Nov 23, 2015",39
Mouse Tweaks,282.4M,"Oct 29, 2024","Jun 25, 2013",51
JourneyMap,252.0M,"Nov 30, 2024","Sep 19, 2011",43
Bookshelf,238.7M,"Oct 19, 2024","Mar 11, 2015",35
AppleSkin,238.2M,"Nov 1, 2024","Aug 13, 2016",44
Controlling,237.4M,"Nov 23, 2024","Aug 28, 2016",39
Clumps,208.0M,"Nov 23, 2024","Jan 7, 2017",35
AutoRegLib,197.5M,"Nov 20, 2022","Aug 27, 2016",17
Placebo,190.1M,"Nov 2, 2024","Dec 16, 2017",18
Mantle,187.1M,"May 13, 2024","Feb 22, 2014",23
Storage Drawers,180.6M,"Nov 24, 2024","Aug 30, 2014",40
Quark,175.0M,"Aug 4, 2024","Mar 20, 2016",21
CraftTweaker,174.1M,"Nov 19, 2024","Dec 27, 2015",36
Iron Chests,172.0M,"Jun 30, 2024","Mar 21, 2015",34
Cloth Config API (Fabric/Forge/NeoForge),170.6M,"Oct 22, 2024","Oct 19, 2019",48
CoFH Core,167.7M,"May 26, 2024","Nov 16, 2013",13
Nature's Compass,167.5M,"Nov 17, 2024","Oct 27, 2016",36
Architectury API (Fabric/Forge/NeoForge),166.3M,"Oct 27, 2024","Nov 13, 2020",31
Waystones,165.6M,"Oct 24, 2024","Jun 2, 2016",34
Patchouli,164.5M,"Sep 1, 2024","Nov 10, 2018",20
Tinkers Construct,163.7M,"Sep 22, 2024","Feb 8, 2014",17
GeckoLib,161.6M,"Nov 5, 2024","Jun 6, 2020",28
Just Enough Resources (JER),161.5M,"Aug 25, 2024","Jan 10, 2016",31
Applied Energistics 2,158.3M,"Sep 16, 2024","Aug 27, 2014",28
ConnectedTexturesMod,156.6M,"Aug 1, 2024","May 14, 2017",18
Biomes O' Plenty,152.8M,"Nov 29, 2024","May 9, 2014",38
Chisel,150.2M,"Jul 4, 2021","Aug 22, 2015",12
Enchantment Descriptions,148.7M,"Oct 28, 2024","Aug 29, 2016",34
Better Advancements,145.6M,"Nov 8, 2024","Jul 19, 2017",29
Cooking for Blockheads,143.5M,"Oct 31, 2024","Jun 10, 2015",37
Thermal Foundation,142.7M,"Jun 19, 2024","Jul 29, 2014",11
Immersive Engineering,142.3M,"Oct 20, 2024","Jun 24, 2015",21
Curios API (Forge/NeoForge),141.7M,"Oct 25, 2024","Dec 27, 2018",25
CodeChicken Lib 1.8.+,141.5M,"Oct 20, 2024","Mar 13, 2016",16
The Twilight Forest,140.7M,"Nov 15, 2024","Feb 7, 2015",27
McJtyLib,138.9M,"Oct 21, 2024","Jul 24, 2015",29
Botania,137.6M,"Aug 8, 2024","Nov 16, 2014",17
Fast Leaf Decay,130.8M,"Oct 26, 2024","May 27, 2015",42
Thermal Expansion,130.7M,"May 26, 2024","Nov 16, 2013",12
Inventory Tweaks [1.12 only] ,127.1M,"Apr 7, 2020","Aug 5, 2014",13
Comforts (Fabric/Forge/Quilt),126.3M,"Oct 18, 2024","Sep 3, 2017",27
Custom Main Menu,123.0M,"Jan 10, 2020","Dec 23, 2014",13
Chisels & Bits - For Forge,120.4M,"Jun 21, 2024","May 30, 2015",20
FastWorkbench,120.1M,"Aug 28, 2024","Feb 22, 2018",17
Resource Loader,119.4M,"Sep 8, 2017","Dec 24, 2014",13
Toast Control,119.4M,"Jul 13, 2024","Jul 9, 2017",19
Shadowfacts' Forgelin,119.3M,"Sep 13, 2019","Aug 6, 2016",7
Item Filters,119.2M,"Nov 3, 2023","Dec 24, 2018",13
Moonlight Lib,118.2M,"Nov 27, 2024","Jul 2, 2021",17
Mekanism,117.4M,"Nov 19, 2024","May 27, 2017",20
Cucumber Library,117.3M,"Nov 19, 2024","Jul 17, 2017",21
OpenBlocks Elevator,117.3M,"Nov 24, 2024","Sep 8, 2016",34
AttributeFix,116.7M,"Oct 19, 2024","Oct 23, 2017",27
Baubles,116.6M,"Jan 10, 2018","Jan 17, 2015",11
Xaero's Minimap,115.6M,"Nov 10, 2024","Mar 22, 2017",47
Dark Utilities,114.6M,"Sep 25, 2024","Feb 24, 2016",29
Morpheus,114.5M,"Feb 24, 2021","Nov 16, 2013",27
Crafting Tweaks,112.0M,"Oct 30, 2024","Jul 23, 2015",38
Cyclops Core,111.8M,"Nov 25, 2024","Jul 15, 2015",24
BdLib,111.7M,"Aug 1, 2023","Dec 11, 2013",19
Cosmetic Armor Reworked,110.2M,"Oct 27, 2024","Oct 24, 2015",42
Carry On,110.0M,"Aug 21, 2024","Aug 11, 2017",29
Collective,109.8M,"Oct 26, 2024","Sep 21, 2019",28
FTB Quests (Forge),109.3M,"Nov 7, 2024","Mar 3, 2018",13
Torchmaster,109.0M,"Oct 26, 2024","Nov 27, 2016",27
Fabric API,109.0M,"Nov 30, 2024","Nov 8, 2018",49
Citadel,108.2M,"Aug 15, 2024","Jul 23, 2019",18
Refined Storage,108.0M,"Mar 7, 2024","Mar 20, 2016",22
Industrial Foregoing,108.0M,"Nov 30, 2024","Apr 30, 2017",17
Ender Storage 1.8.+,107.1M,"Oct 20, 2024","May 17, 2016",16
Default Options,106.6M,"Oct 23, 2024","Jun 28, 2015",41
Supplementaries,106.4M,"Nov 30, 2024","Oct 9, 2020",16
CreativeCore,105.9M,"Nov 30, 2024","Jan 23, 2017",30
FTB Library (Forge),105.1M,"Nov 21, 2024","Aug 25, 2020",15
ModTweaker,103.7M,"Jun 19, 2022","Jun 1, 2014",11
Mekanism Generators,103.4M,"Nov 19, 2024","May 27, 2017",20
Mystical Agriculture,102.8M,"Nov 25, 2024","Jun 25, 2016",25
Polymorph (Fabric/Forge/Quilt),102.2M,"Sep 19, 2024","Jun 9, 2020",21
